component,mr_group,intercept,slack,slope_basis
crops,produce:alfalfa_irrigated:region0000_c0,-0.583361,0,
crops,produce:alfalfa_irrigated:region0000_c1,-0.290981,0,
crops,produce:alfalfa_irrigated:region0000_c2,-0.15231,0,
crops,produce:alfalfa_irrigated:region0000_c3,0.0247671,0,
crops,produce:alfalfa_irrigated:region0001_c0,-0.736724,0,
crops,produce:alfalfa_irrigated:region0001_c1,-0.353253,0,
crops,produce:alfalfa_irrigated:region0001_c2,-0.411965,0,
crops,produce:alfalfa_irrigated:region0001_c3,-0.328375,0,
crops,produce:alfalfa_irrigated:region0002_c0,-0.846433,0,
crops,produce:alfalfa_irrigated:region0002_c1,-0.585935,0,
crops,produce:alfalfa_irrigated:region0002_c2,-0.407394,0,
crops,produce:alfalfa_irrigated:region0002_c3,-0.185768,0,
crops,produce:alfalfa_irrigated:region0010_c0,-30.2873,0,
crops,produce:alfalfa_irrigated:region0010_c1,-43.6223,0,
crops,produce:alfalfa_irrigated:region0010_c2,-77.3424,0,
crops,produce:alfalfa_irrigated:region0010_c3,-99.4752,0,
crops,produce:alfalfa_irrigated:region0011_c0,3.60976,0,
crops,produce:alfalfa_irrigated:region0011_c1,5.15179,0,
crops,produce:alfalfa_irrigated:region0011_c2,6.78851,0,
crops,produce:alfalfa_irrigated:region0011_c3,8.05401,0,
crops,produce:alfalfa_irrigated:region0012_c0,-83.7604,0,
crops,produce:alfalfa_irrigated:region0012_c1,-90.6889,0,
crops,produce:alfalfa_irrigated:region0012_c2,-91.8575,0,
crops,produce:alfalfa_irrigated:region0012_c3,-93.4224,0,
crops,produce:alfalfa_irrigated:region0013_c1,-91.8778,0,
crops,produce:alfalfa_irrigated:region0013_c2,-83.9158,0,
crops,produce:alfalfa_irrigated:region0013_c3,-88.8567,0,
crops,produce:alfalfa_irrigated:region0014_c0,-33.9395,0,
crops,produce:alfalfa_irrigated:region0014_c1,-39.6019,0,
crops,produce:alfalfa_irrigated:region0014_c2,-53.6729,0,
crops,produce:alfalfa_irrigated:region0014_c3,-86.4365,0,
crops,produce:alfalfa_irrigated:region0015_c0,-80.5823,0,
crops,produce:alfalfa_irrigated:region0015_c1,-86.8678,0,
crops,produce:alfalfa_irrigated:region0015_c2,-88.3654,0,
crops,produce:alfalfa_irrigated:region0015_c3,-91.8866,0,
crops,produce:alfalfa_irrigated:region0016_c0,-89.2983,0,
crops,produce:alfalfa_irrigated:region0016_c1,-94.3577,0,
crops,produce:alfalfa_irrigated:region0016_c2,-93.5877,0,
crops,produce:alfalfa_irrigated:region0016_c3,-93.884,0,
crops,produce:alfalfa_irrigated:region0017_c0,-31.4033,0,
crops,produce:alfalfa_irrigated:region0017_c1,-96.1349,0,
crops,produce:alfalfa_irrigated:region0017_c2,-100,-8.51531e-07,
crops,produce:alfalfa_irrigated:region0017_c3,-99.6531,0,
crops,produce:alfalfa_irrigated:region0018_c0,-98.5102,0,
crops,produce:alfalfa_irrigated:region0018_c1,-99.3975,0,
crops,produce:alfalfa_irrigated:region0018_c2,-95.5018,0,
crops,produce:alfalfa_irrigated:region0018_c3,-99.2723,0,
crops,produce:alfalfa_irrigated:region0019_c0,-80.4951,0,
crops,produce:alfalfa_irrigated:region0019_c1,-93.8742,0,
crops,produce:alfalfa_irrigated:region0019_c2,-96.7886,0,
crops,produce:alfalfa_irrigated:region0019_c3,-93.6721,0,
crops,produce:alfalfa_irrigated:region0020_c0,-87.7708,0,
crops,produce:alfalfa_irrigated:region0020_c1,-87.6633,0,
crops,produce:alfalfa_irrigated:region0020_c2,-91.3742,0,
crops,produce:alfalfa_irrigated:region0020_c3,-94.3501,0,
crops,produce:alfalfa_irrigated:region0022_c0,-89.8705,0,
crops,produce:alfalfa_irrigated:region0022_c1,-89.4754,0,
crops,produce:alfalfa_irrigated:region0022_c2,-96.6385,0,
crops,produce:alfalfa_irrigated:region0023_c0,-90.9212,0,
crops,produce:alfalfa_irrigated:region0023_c1,-95.1417,0,
crops,produce:alfalfa_irrigated:region0023_c2,-94.8744,0,
crops,produce:alfalfa_irrigated:region0023_c3,-94.6612,0,
crops,produce:alfalfa_irrigated:region0024_c3,-73.9532,0,
crops,produce:alfalfa_irrigated:region0026_c0,-82.8739,0,
crops,produce:alfalfa_irrigated:region0026_c1,-85.0508,0,
crops,produce:alfalfa_irrigated:region0026_c2,-86.8157,0,
crops,produce:alfalfa_irrigated:region0026_c3,-87.7923,0,
crops,produce:alfalfa_irrigated:region0027_c0,2.6622,0,
crops,produce:alfalfa_irrigated:region0027_c1,3.17479,0,
crops,produce:alfalfa_irrigated:region0027_c2,2.93774,0,
crops,produce:alfalfa_irrigated:region0027_c3,2.98826,0,
crops,produce:alfalfa_irrigated:region0032_c0,3.35529,0,
crops,produce:alfalfa_irrigated:region0032_c1,3.28415,0,
