product,country,correction_bnusd_per_mt_feed
dairy,AFG,0.11665473133325577
dairy,AGO,-0.10958565771579742
dairy,ALB,0.09681235626339912
dairy,ARE,0.002835091669112444
dairy,ARG,-0.12173284590244293
dairy,ARM,0.05384315364062786
dairy,ASM,-0.0
dairy,ATG,-0.07967411354184151
dairy,AUS,-0.0
dairy,AUT,0.09793809801340103
dairy,AZE,0.039731714874506
dairy,BDI,-0.15231163799762726
dairy,BEL,0.07386421225965023
dairy,BEN,-0.14079925045371056
dairy,BFA,-0.1478307694196701
dairy,BGD,-0.01161117188166827
dairy,BGR,0.14611319452524185
dairy,BHS,-0.0363323800265789
dairy,BIH,0.21504786610603333
dairy,BLR,0.041194526478648186
dairy,BLZ,-0.09966141358017921
dairy,BOL,-0.14834804087877274
dairy,BRA,-0.12154193595051765
dairy,BRB,-0.21223430335521698
dairy,BRN,0.004774544853717089
dairy,BTN,-0.030283909291028976
dairy,BWA,-0.13473811000585556
dairy,CAF,-0.12503372877836227
dairy,CAN,0.013998700305819511
dairy,CHE,0.11075092852115631
dairy,CHL,-0.1107088252902031
dairy,CHN,0.26268064975738525
dairy,CIV,-0.14464277774095535
dairy,CMR,-0.14920994639396667
dairy,COD,-0.1530388817191124
dairy,COG,-0.1472916603088379
dairy,COL,-0.1260564737021923
dairy,COM,-0.1283145807683468
dairy,CPV,-0.10940692201256752
dairy,CRI,-0.037771034985780716
dairy,CUB,-0.11439371109008789
dairy,CYP,0.13491541519761086
dairy,CZE,0.09349175170063972
dairy,DEU,0.10347237437963486
dairy,DJI,-0.02108735591173172
dairy,DNK,0.12485234811902046
dairy,DOM,-0.031586404889822006
dairy,DZA,0.030236066319048405
dairy,ECU,-0.12492702156305313
dairy,EGY,-0.024220566265285015
dairy,ERI,-0.0853727925568819
dairy,ESP,0.01518347067758441
dairy,EST,0.11097557842731476
dairy,ETH,-0.12019088864326477
dairy,FIN,0.1875295415520668
dairy,FJI,0.032970622181892395
dairy,FRA,0.0370305310934782
dairy,GAB,-0.029579596361145377
dairy,GBR,0.15674644708633423
dairy,GEO,0.03691886365413666
dairy,GHA,-0.09242465160787106
dairy,GIN,-0.09767892025411129
dairy,GMB,-0.12355899810791016
dairy,GNB,-0.15039920061826706
dairy,GNQ,-0.0
dairy,GRC,0.06870709918439388
dairy,GRD,-0.119399543851614
dairy,GTM,-0.08634767308831215
dairy,GUF,-0.0
dairy,GUY,-0.10141164436936378
dairy,HND,-0.08170197159051895
dairy,HRV,0.07001300901174545
dairy,HTI,-0.029627230018377304
dairy,HUN,0.08909627795219421
dairy,IDN,0.05855059623718262
dairy,IND,-0.012932739220559597
dairy,IRL,-0.004516975954174995
dairy,IRN,0.1009460836648941
dairy,IRQ,-0.03624606225639582
dairy,ISL,-0.04524839110672474
dairy,ISR,-0.06247526407241821
dairy,ITA,0.0643586739897728
dairy,JAM,-0.04880060628056526
dairy,JOR,0.18926707655191422
dairy,JPN,0.20817075669765472
dairy,KAZ,0.14199641346931458
dairy,KEN,-0.07227128744125366
dairy,KGZ,0.28608645498752594
dairy,KHM,-0.09347997233271599
dairy,KOR,0.23717820644378662
dairy,LAO,-0.010893667116761208
dairy,LBN,0.18361157178878784
dairy,LBR,-0.0682087941095233
dairy,LBY,0.008429448353126645
dairy,LKA,0.08627666719257832
dairy,LSO,-0.13368820399045944
dairy,LTU,0.11914093792438507
dairy,LUX,0.08873994648456573
dairy,LVA,0.10636674985289574
dairy,MAR,-0.03887320403009653
dairy,MDA,0.08973255753517151
dairy,MDG,-0.1516457088291645
dairy,MEX,0.001593582215718925
dairy,MKD,0.05768989771604538
dairy,MLI,-0.08290770556777716
dairy,MLT,-0.0961635410785675
dairy,MMR,-0.054595962166786194
dairy,MNE,0.14630505442619324
dairy,MNG,0.035875407978892326
dairy,MOZ,-0.11168426647782326
dairy,MRT,-0.10408833995461464
dairy,MUS,-0.050707174465060234
dairy,MWI,-0.11526454985141754
dairy,MYS,-0.00772172911092639
dairy,NAM,-0.13573191314935684
dairy,NER,-0.15579701215028763
dairy,NGA,-0.08882680907845497
dairy,NIC,-0.13666916638612747
dairy,NLD,0.041065335273742676
dairy,NOR,0.12128978595137596
dairy,NPL,-0.008165001829183893
dairy,NZL,-0.02645382098853588
dairy,OMN,-0.0352504956535995
dairy,PAK,0.0856422632932663
dairy,PAN,-0.1009686067700386
