# SPDX-FileCopyrightText: 2026 Koen van Greevenbroek
#
# SPDX-License-Identifier: CC-BY-4.0
country,monogastric_protein_mt_dm,ruminant_protein_mt_dm,ruminant_roughage_mt_dm
AFG,0.0,0.608471,6.396201
AGO,0.0,0.0,0.921706
ARE,0.0,0.0,1.420038
ARM,0.0,0.0,0.922057
ATG,0.0,0.0,0.001203
AZE,0.0,0.0,1.662357
BFA,0.0,0.0,2.424819
BGD,0.0,0.0,9.323274
BHS,0.0,0.0,0.000241
BOL,0.0,0.0,3.079534
BRA,0.0,0.0,3.789062
BRB,0.0,0.0,0.001186
BRN,0.03272,0.0,0.098271
BTN,0.0,0.0,0.032205
BWA,0.0,0.0,0.801548
CAF,0.0,0.0,3.139111
CHL,0.0,0.0,1.159961
CHN,4.065077,0.0,0.0
CMR,0.0,0.0,2.066831
COG,0.0,0.0,0.101918
COL,0.0,0.0,4.970007
COM,0.0,0.0,0.023564
CPV,0.0,0.0,0.014816
CRI,0.0,0.0,0.477516
CUB,0.0,0.0,0.474619
CYP,0.0,0.0,0.026106
DJI,0.0,0.0,0.253119
DOM,0.0,0.0,0.733529
DZA,0.0,0.0,6.986687
ECU,0.0,0.0,0.999478
EGY,0.0,0.0,7.620932
ERI,0.0,0.0,0.647088
ETH,0.0,0.0,3.690289
GEO,0.0,0.0,0.295198
GNB,0.0,0.0,0.082731
GRD,0.0,0.0,0.003329
GTM,0.0,0.0,0.901076
HND,0.0,0.0,0.341193
HTI,0.0,0.0,0.566936
IDN,7.085855,0.0,0.0
IND,0.0,0.0,289.03186
IRL,0.0,0.0,0.339502
ISL,0.0,0.0,0.030581
ISR,0.0,0.0,1.114146
JAM,0.0,0.0,0.181489
JOR,0.0,0.0,0.909003
JPN,2.910876,1.133777,1.328452
KEN,0.0,0.0,8.594836
KHM,0.0,0.130451,0.0
KOR,2.943842,0.146033,2.659726
LAO,0.0,0.060388,0.0
LBN,0.0,0.0,0.255603
LBY,0.0,0.0,0.793866
LSO,0.0,0.0,0.092898
MAR,0.0,0.0,5.582377
MEX,0.0,0.0,2.590309
MLT,0.0,0.0,0.002164
MMR,0.0,0.269251,0.0
MNE,0.0,0.0,0.002311
MNG,0.0,0.0,15.401712
MRT,0.0,0.0,2.102427
MYS,0.847363,0.0,0.234748
NAM,0.0,0.0,0.700566
NER,0.0,0.0,1.710052
NIC,0.0,0.0,1.29114
NLD,0.0,0.0,0.127665
NPL,0.0,0.0,15.811893
NZL,0.0,0.546052,0.0
OMN,0.0,0.0,1.601246
PAK,0.0,0.0,166.691833
PAN,0.0,0.0,0.335598
PER,0.0,0.0,0.808195
PHL,1.893172,0.0,0.0
PRI,0.0,0.0,0.093587
PRY,0.0,0.0,0.130072
PSE,0.0,0.0,0.253437
RWA,0.0,0.0,0.379596
SAU,0.0,0.0,3.205631
SDN,0.0,0.0,11.691299
SEN,0.0,0.0,0.879997
SOM,0.0,0.0,5.321395
SSD,0.0,0.0,3.618346
STP,0.0,0.0,0.002251
SWZ,0.0,0.0,0.169131
SYR,0.0,0.0,1.266636
TCD,0.0,0.0,25.904709
THA,0.317821,0.0,0.0
TJK,0.0,0.0,0.245753
TKM,0.0,0.0,0.692459
TLS,0.0,0.0,0.067068
TTO,0.0,0.0,0.00687
TUN,0.0,0.0,1.232322
TUR,0.0,0.0,1.617232
TWN,1.280442,0.00074,0.0
TZA,0.0,0.0,9.70183
UGA,0.0,0.0,3.548997
URY,0.0,0.0,2.438507
VEN,0.0,0.0,3.760523
YEM,0.0,0.0,3.182977
ZAF,0.0,0.0,5.453259
ZMB,0.0,0.0,2.947526
ZWE,0.0,0.0,10.745438
