country,correction_bnusd_per_mha
AFG,-2.6429036389941096e-10
AGO,-0.38166816532611847
ALB,-0.20878468453884125
ARE,-0.0
ARG,-0.1545550674200058
ARM,-0.0
ATG,-0.0
AUS,-0.0412256233394146
AUT,9.24111176470177e-10
AZE,0.7241496741771698
BDI,-1.8208973884270563e-08
BEL,0.08780838921666145
BEN,2.2254557609558105
BFA,1.0289277732372284
BGD,-0.0
BGR,-0.29128387570381165
BHS,-0.031262665055692196
BIH,-0.45235347747802734
BLR,-0.01833034586161375
BLZ,-0.7399452030658722
BOL,-0.6221835613250732
BRA,-0.5204504728317261
BRB,0.6726185977458954
BRN,-3.437714735099462e-08
BTN,-0.3056749999523163
BWA,-0.0
CAF,1.5021680344062815e-08
CAN,-0.21270669996738434
CHE,-0.0
CHL,-0.03965021949261427
CHN,-4.407169296172242e-09
CIV,-0.5458422899246216
CMR,2.1159034371376038
COD,-0.7531084418296814
COG,-0.8099571466445923
COL,-0.6204277873039246
COM,1.1087989807128906
CPV,-0.0
CRI,-0.04483989253640175
CUB,-0.17085150629281998
CYP,0.23298390954732895
CZE,-0.18661560863256454
DEU,-0.24803977459669113
DJI,-0.0
DNK,1.4705818891525269
DOM,-1.3908177720622916e-08
DZA,-2.098951901174928e-09
ECU,-0.19687405228614807
EGY,-0.0
ERI,-0.04815981723368168
ESP,-0.03535165823996067
EST,-0.26680906116962433
ETH,-1.9151058516797548e-09
FIN,1.2526208758354187
FJI,-0.864391952753067
FRA,-2.9409451540729492e-09
GAB,-0.8207397162914276
GBR,-8.699288400748628e-09
GEO,-0.20096751302480698
GHA,-0.5431598126888275
GIN,-0.37204913794994354
GMB,0.9099922478199005
GNB,0.8454008102416992
GNQ,-0.7101413011550903
GRC,-0.15156953781843185
GRD,0.46647536754608154
GTM,-2.610952076764761e-08
GUF,-0.9834447503089905
GUY,-1.1032667756080627
HND,-0.5581271648406982
HRV,-0.17101933807134628
HTI,1.2459450360324809e-08
HUN,-0.4085644632577896
IDN,-0.562181144952774
IND,1.2002182602882385
IRL,-0.0
IRN,-0.0
IRQ,-0.0
ISL,-0.09247573837637901
ISR,0.5377657413482666
ITA,0.44143620133399963
JAM,2.724227786064148
JOR,-0.0
JPN,-0.4728243798017502
KAZ,-0.012584597337991
KEN,-0.2179667055606842
KGZ,-1.2954760597594372e-09
KHM,2.1605234268307072e-10
KOR,2.447239637374878
LAO,4.666452224633133e-10
LBN,0.3942871540784836
LBR,-0.7618840336799622
LBY,2.2779291473928875e-12
LKA,-0.1928924173116684
LSO,-0.4435950964689255
LTU,-0.04581737518310547
LUX,0.01513665821403265
LVA,-0.2936539202928543
MAR,-0.0
MDA,-0.3453979641199112
MDG,-0.6868364214897156
MEX,-0.06383734568953514
MKD,-0.27806226909160614
MLI,-0.037232644855976105
MLT,-0.0
MMR,2.056019604206085
MNE,-0.29938387870788574
MNG,-0.03427516482770443
MOZ,-0.5160333812236786
MRT,-0.03399969823658466
MUS,-3.315589225394433e-08
MWI,-3.3964567824895653e-09
MYS,1.4313578766689261e-08
NAM,-0.0047507211565971375
NER,-0.0
NGA,-0.14038769900798798
NIC,-0.5779949724674225
NLD,0.8321638405323029
NOR,1.037335753440857
NPL,0.06737685762345791
NZL,-0.0
OMN,-0.0
PAK,-0.0
PAN,-0.10512995347380638
PER,-0.6808821260929108
PHL,-0.11315194144845009
PNG,-0.8056034743785858
POL,0.005302567966282368
PRI,-2.7517170764213006e-09
PRT,-0.17007751017808914
PRY,-0.6874429285526276
PSE,0.507328063249588
ROU,-0.4107300937175751
RUS,-1.2980387320560283e-09
RWA,4.892043590545654
SAU,-0.0
SDN,-0.06421096250414848
SEN,0.28181566298007965
SLB,-0.18465298414230347
SLE,-0.3628302663564682
SLV,2.639617085456848
SOM,-0.05690718814730644
SRB,-0.2870781123638153
SSD,-0.2865627706050873
STP,0.39302489161491394
SUR,-0.13022972643375397
SVK,-0.4101209193468094
SVN,-0.20196598023176193
SWE,1.0995991826057434
SWZ,-0.3180921822786331
SYR,0.10783830285072327
TCD,-0.08657535165548325
TGO,-0.30542606115341187
THA,-3.214273469609452e-08
TJK,0.29956962168216705
TKM,-0.0
TLS,-0.22256753593683243
TTO,-3.4331349985095017e-09
TUN,0.674901008605957
TUR,0.7692269086837769
TWN,-0.3718879818916321
TZA,-0.06110341474413872
UGA,-2.739427173992226e-08
UKR,-0.007491964614018798
URY,-0.21180780231952667
USA,-0.2100314497947693
UZB,-0.0
VEN,-0.6751556694507599
VNM,4.380912780761719
VUT,-0.19533131271600723
YEM,-6.187674372881702e-09
ZAF,-0.04584670439362526
ZMB,-0.39802390336990356
ZWE,0.3602187801152468
