# SPDX-FileCopyrightText: 2026 Koen van Greevenbroek
#
# SPDX-License-Identifier: CC-BY-4.0
country,monogastric_protein_mt_dm,ruminant_protein_mt_dm,ruminant_roughage_mt_dm
AFG,0.0,0.0,6.400424
AGO,0.0,0.0,0.935985
ARE,0.0,0.0,1.420038
ARM,0.0,0.0,0.921979
ATG,0.0,0.0,0.001203
AUS,0.179767,0.358525,0.0
AZE,0.0,0.0,1.662367
BFA,0.0,0.0,2.424631
BGD,0.0,0.0,9.329955
BHS,0.0,0.0,0.000241
BOL,0.0,0.0,3.081205
BRA,0.0,0.0,4.951871
BRB,0.0,0.0,0.001186
BRN,0.030088,0.002684,0.098271
BTN,0.0,0.0,0.031303
BWA,0.0,0.0,0.801495
CAF,0.0,0.0,3.132843
CHL,0.0,0.0,1.179778
CHN,38.363338,8.937976,0.0
CMR,0.0,0.0,2.125884
COG,0.0,0.0,0.101986
COL,0.0,0.0,5.010691
COM,0.0,0.0,0.023564
CPV,0.0,0.0,0.014816
CRI,0.0,0.0,0.477426
CUB,0.0,0.0,0.474619
CYP,0.0,0.0,0.026106
DJI,0.0,0.0,0.253112
DOM,0.0,0.0,0.733529
DZA,0.0,0.0,6.97226
ECU,0.0,0.0,0.998855
EGY,0.0,0.0,7.580072
ERI,0.0,0.0,0.646949
ETH,0.0,0.0,3.717979
GEO,0.0,0.0,0.295351
GNB,0.0,0.0,0.082731
GRD,0.0,0.0,0.003329
GTM,0.0,0.0,0.901118
HND,0.0,0.0,0.341193
HTI,0.0,0.0,0.566936
IDN,5.012152,2.778974,0.0
IND,0.0,0.0,294.066833
IRL,0.0,0.0,0.339501
IRN,0.0,0.035029,0.0
ISL,0.0,0.0,0.030581
ISR,0.0,0.0,1.114146
JAM,0.0,0.0,0.181489
JOR,0.0,0.0,0.909003
JPN,1.832012,1.221458,1.343619
KEN,0.0,0.0,8.626934
KHM,0.076918,0.208704,0.0
KOR,2.71836,0.374992,2.659726
LAO,0.1049,0.071492,0.0
LBN,0.0,0.0,0.255603
LBY,0.0,0.0,0.79385
LKA,0.038487,0.18201,0.0
LSO,0.0,0.0,0.093317
MAR,0.0,0.0,5.57414
MEX,0.0,0.0,2.844587
MLT,0.0,0.0,0.002164
MMR,0.0,0.277599,0.0
MNE,0.0,0.0,0.002312
MNG,0.0,0.001171,15.392928
MRT,0.0,0.0,2.123055
MYS,0.788346,0.24535,0.234641
NAM,0.0,0.0,0.689191
NER,0.0,0.0,1.688753
NIC,0.0,0.0,1.29114
NLD,0.0,0.0,0.127492
NPL,0.0,0.62717,15.80045
NZL,0.113223,1.103938,0.0
OMN,0.0,0.0,1.601247
PAK,0.0,9.06523,166.422043
PAN,0.0,0.0,0.335523
PER,0.0,0.0,0.90663
PHL,1.604549,0.297524,0.0
PRI,0.0,0.0,0.093587
PRY,0.0,0.0,0.124571
PSE,0.0,0.0,0.253437
RWA,0.0,0.0,0.379605
SAU,0.0,0.0,3.202792
SDN,0.0,0.0,11.667519
SEN,0.0,0.0,0.880413
SOM,0.0,0.0,5.312761
SSD,0.0,0.0,3.61814
STP,0.0,0.0,0.002251
SWZ,0.0,0.0,0.169016
SYR,0.0,0.0,1.271458
TCD,0.0,0.0,25.921246
THA,2.212016,0.336465,0.0
TJK,0.0,0.0,0.245539
TKM,0.0,0.0,0.704252
TLS,0.012384,0.01037,0.066588
TTO,0.0,0.0,0.00687
TUN,0.0,0.0,1.232322
TUR,0.0,0.0,1.70279
TWN,1.287019,0.00074,0.0
TZA,0.0,0.0,9.756378
UGA,0.0,0.0,3.548836
URY,0.0,0.0,2.438097
VEN,0.0,0.0,3.76209
VNM,2.279286,0.832676,0.0
YEM,0.0,0.0,3.184532
ZAF,0.0,0.0,5.651819
ZMB,0.0,0.0,2.971979
ZWE,0.0,0.0,10.745337
