food,multiplier,net_slack_mt,consumption_mt
apple,1.0263250118126332,-2.6487680513237137,100.6179245113417
banana,1.0,0.0,64.24033005723322
barley-hulled,1.0,0.0,2.5509975362103887
buckwheat,0.5161261748131606,2.5232581936336373,5.21470280534254
cabbage,0.9964736419747056,0.8096190254727844,229.59070510294987
carrot,1.0044122336364383,-0.5395181532949209,122.27778439458052
cassava,1.0,0.0,157.42911003598238
chickpea,0.7334505332274995,3.1647809596690877,11.873146842083997
citrus,1.073033200667495,-9.496670365333557,130.0322357302939
cocoa-powder,0.9014653617552157,0.5217663333751261,5.295258019610628
coconut,1.0,0.0,7.4685584381240915
coconut-oil,1.0,0.0,0.959177754493794
coffee-green,0.8670796007508681,1.5561736629824736,11.707560854265466
cottonseed-oil,1.0,0.0,3.4216795019938218
cowpea,1.0,0.0,8.023896933055994
dairy,1.1191858493138949,-83.19951213803142,698.0653543770313
dairy-buffalo,1.1373173697611507,-16.630460658474476,121.1096650584077
dry-pea,1.0,0.0,6.17437933254223
eggs,1.0,0.0,82.1042355971731
flour-white,1.0,0.0,275.2358510554768
flour-wholemeal,1.0,0.0,38.87509628526459
foxtail-millet,1.0,0.0,3.234954914529226
gram,0.7334505332274995,3.1647809596690877,11.873146842083997
groundnut,1.0,0.0,20.996472433620966
groundnut-oil,1.0,0.0,3.0808910877995004
maize,1.0,0.0,64.77057215915829
maize-whole,1.0,0.0,20.808036830817628
mango,0.8356771966491361,9.887926888011862,60.17379624968453
meat-cattle,0.952400559021778,2.308293253183365,48.49412526166998
meat-chicken,0.9895527158773688,0.8225271608680487,78.7311947500566
meat-pig,1.0184832063942477,-1.3977279365062714,75.62150779971125
meat-sheep,1.0872487700948157,-0.8913660884136334,10.21637425312656
oat,1.0,0.0,1.1316055530789981
olive-oil,1.1941383326246193,-0.7986921111587435,4.114036112090616
onion,0.9923317363251919,2.1338261844357476,278.2671899306006
palm-oil,1.0,0.0,23.706909050333707
pearl-millet,1.0,0.0,3.234954914529226
phaseolus-bean,1.0,0.0,21.57145358827256
pigeon-pea,1.0,0.0,0.6679289132182475
plantain,0.8922109768490607,2.7378398588425625,25.39998766858389
potato,1.0,0.0,226.71684613649268
rapeseed-oil,1.0,0.0,10.808916135382105
rendered-fat,1.0,0.0,7.44342613070603
rice-brown,1.0,0.0,35.70415660064464
rice-white,1.0,0.0,340.82733609573916
rye,1.0,0.0,0.809679446935661
sesame-oil,0.8268496976483677,0.19177997224687715,1.1075924768379082
sesame-seed,1.0,0.0,2.9894916711275528
sorghum,1.0,0.0,11.638505917195289
soy,1.0,0.0,11.041815498637334
soybean-oil,1.0,0.0,27.65591717805819
sugar,1.0,0.0,137.2949263714254
sunflower-oil,0.9317219685796627,0.8892538040236104,13.02401058620353
sunflower-seed,1.0,0.0,4.64019518993814
sweet-potato,1.0,0.0,45.0004243637195
tea-dried,0.982554400446164,0.11642721491807606,6.673729645048297
tomato,1.0193611262739315,-2.403931736946106,124.16280452562569
watermelon,1.145961136697393,-8.558491706848145,58.6354141965312
yam,1.0136933459237951,-0.47474855883046985,34.67001866983378
