# SPDX-FileCopyrightText: 2026 Koen van Greevenbroek
#
# SPDX-License-Identifier: CC-BY-4.0
country,yield_correction
AFG,0.388259
AGO,0.067688
ALB,0.144069
ARE,1.0
ARG,0.339432
ARM,0.550528
ATG,1.0
AUS,0.233412
AUT,0.589618
AZE,1.0
BDI,0.442213
BEL,0.933014
BEN,1.0
BFA,1.0
BGD,1.0
BGR,0.072918
BHS,0.669108
BIH,0.014664
BLR,0.421103
BLZ,0.10203
BOL,0.096857
BRA,0.224921
BRB,1.0
BRN,1.0
BTN,0.035824
BWA,1.0
CAF,0.580631
CAN,0.056898
CHE,0.409762
CHL,0.531183
CHN,0.274187
CIV,0.032799
CMR,1.0
COD,0.021198
COG,0.007568
COL,0.103359
COM,1.0
CPV,1.0
CRI,0.376304
CUB,0.276615
CYP,1.0
CZE,0.232681
DEU,0.157382
DJI,1.0
DNK,1.0
DOM,0.550097
DZA,0.822124
ECU,0.353647
EGY,1.0
ERI,0.518268
ESP,0.424722
EST,0.0
ETH,0.528312
FIN,1.0
FJI,0.040158
FRA,0.488651
GAB,0.007784
GBR,0.400822
GEO,0.121046
GHA,0.16792
GIN,0.173016
GMB,1.0
GNB,1.0
GNQ,0.077499
GRC,0.073392
GRD,1.0
GTM,0.584117
GUF,0.0
GUY,0.018126
HND,0.188439
HRV,0.283024
HTI,0.925315
HUN,0.0
IDN,0.145812
IND,1.0
IRL,0.635526
IRN,0.888968
IRQ,1.0
ISL,0.063927
ISR,1.0
ITA,1.0
JAM,1.0
JOR,1.0
JPN,0.0
KAZ,0.253497
KEN,0.438923
KGZ,0.841931
KHM,0.398061
KOR,1.0
LAO,0.443119
LBN,1.0
LBR,0.01603
LBY,0.871135
LKA,0.192648
LSO,0.043596
LTU,0.340479
LUX,0.78447
LVA,0.0
MAR,1.0
MDA,0.0
MDG,0.015715
MEX,0.311007
MKD,0.104968
MLI,0.39245
MLT,1.0
MMR,1.0
MNE,0.077893
MNG,0.246554
MOZ,0.002876
MRT,0.653297
MUS,0.811415
MWI,0.758954
MYS,0.442723
NAM,0.318561
NER,1.0
NGA,0.693539
NIC,0.299317
NLD,1.0
NOR,1.0
NPL,1.0
NZL,0.55808
OMN,1.0
PAK,1.0
PAN,0.310254
PER,0.043669
PHL,0.380175
PNG,0.0
POL,0.560695
PRI,0.459587
PRT,0.112847
PRY,0.069802
PSE,1.0
ROU,0.0
RUS,0.15539
RWA,1.0
SAU,1.0
SDN,0.410322
SEN,1.0
SLB,0.40507
SLE,0.091711
SLV,1.0
SOM,0.549196
SRB,0.141601
SSD,0.142966
STP,1.0
SUR,0.81502
SVK,0.0
SVN,0.252093
SWE,1.0
SWZ,0.283142
SYR,1.0
TCD,0.696981
TGO,0.199885
THA,0.903254
TJK,1.0
TKM,1.0
TLS,0.233761
TTO,0.838895
TUN,1.0
TUR,1.0
TWN,0.108669
TZA,0.401416
UGA,0.41382
UKR,0.16676
URY,0.242287
USA,0.027163
UZB,1.0
VEN,0.182713
VNM,1.0
VUT,0.163781
YEM,0.587135
ZAF,0.338298
ZMB,0.201099
ZWE,1.0
