component,mr_group,intercept,slack,slope_basis
crops,produce:alfalfa_irrigated:region0000_c0,-0.750268,0,
crops,produce:alfalfa_irrigated:region0000_c1,-0.400771,0,
crops,produce:alfalfa_irrigated:region0000_c2,-0.4077,0,
crops,produce:alfalfa_irrigated:region0000_c3,-77.4669,0,
crops,produce:alfalfa_irrigated:region0002_c0,-30.2875,0,
crops,produce:alfalfa_irrigated:region0002_c1,-43.4022,0,
crops,produce:alfalfa_irrigated:region0002_c2,-77.6369,0,
crops,produce:alfalfa_irrigated:region0002_c3,-99.4753,0,
crops,produce:alfalfa_irrigated:region0003_c0,3.4459,0,
crops,produce:alfalfa_irrigated:region0003_c1,4.91834,0,
crops,produce:alfalfa_irrigated:region0003_c2,6.44423,0,
crops,produce:alfalfa_irrigated:region0003_c3,7.66819,0,
crops,produce:alfalfa_irrigated:region0004_c0,2.68102,0,
crops,produce:alfalfa_irrigated:region0004_c1,3.41156,0,
crops,produce:alfalfa_irrigated:region0004_c2,4.63793,0,
crops,produce:alfalfa_irrigated:region0004_c3,5.42157,0,
crops,produce:alfalfa_irrigated:region0005_c0,5.13335,0,
crops,produce:alfalfa_irrigated:region0005_c1,5.57846,0,
crops,produce:alfalfa_irrigated:region0005_c2,5.80005,0,
crops,produce:alfalfa_irrigated:region0005_c3,5.96601,0,
crops,produce:alfalfa_irrigated:region0006_c0,-87.4619,0,
crops,produce:alfalfa_irrigated:region0006_c1,-99.9218,0,
crops,produce:alfalfa_irrigated:region0006_c2,-93.7737,0,
crops,produce:alfalfa_irrigated:region0006_c3,-98.9615,0,
crops,produce:alfalfa_irrigated:region0009_c0,-57.4342,0,
crops,produce:alfalfa_irrigated:region0009_c1,-57.2485,0,
crops,produce:alfalfa_irrigated:region0009_c2,-57.9534,0,
crops,produce:alfalfa_irrigated:region0009_c3,-57.3246,0,
crops,produce:alfalfa_irrigated:region0010_c0,-59.8412,0,
crops,produce:alfalfa_irrigated:region0010_c1,-57.8178,0,
crops,produce:alfalfa_irrigated:region0010_c2,-59.0846,0,
crops,produce:alfalfa_irrigated:region0010_c3,-54.8781,0,
crops,produce:alfalfa_irrigated:region0011_c0,-19.6876,0,
crops,produce:alfalfa_irrigated:region0011_c1,-29.4622,0,
crops,produce:alfalfa_irrigated:region0011_c2,-35.1935,0,
crops,produce:alfalfa_irrigated:region0011_c3,-40.3775,0,
crops,produce:alfalfa_irrigated:region0012_c0,-0.368305,0,
crops,produce:alfalfa_irrigated:region0012_c1,-0.207623,0,
crops,produce:alfalfa_irrigated:region0012_c2,-0.05497,0,
crops,produce:alfalfa_irrigated:region0012_c3,0.147165,0,
crops,produce:alfalfa_irrigated:region0014_c0,5.38745,0,
crops,produce:alfalfa_irrigated:region0014_c1,7.88227,0,
crops,produce:alfalfa_irrigated:region0014_c2,10.043,0,
crops,produce:alfalfa_irrigated:region0014_c3,8.20118,0,
crops,produce:alfalfa_irrigated:region0017_c0,0.681664,0,
crops,produce:alfalfa_irrigated:region0017_c1,0.629412,0,
crops,produce:alfalfa_irrigated:region0017_c2,0.650098,0,
crops,produce:alfalfa_irrigated:region0017_c3,0.627176,0,
crops,produce:alfalfa_irrigated:region0018_c0,-35.4674,0,
crops,produce:alfalfa_irrigated:region0018_c1,-46.3723,0,
crops,produce:alfalfa_irrigated:region0018_c2,-44.7186,0,
crops,produce:alfalfa_irrigated:region0018_c3,-43.6695,0,
crops,produce:alfalfa_irrigated:region0021_c0,2.06372,0,
crops,produce:alfalfa_irrigated:region0021_c1,-0.446504,0,
crops,produce:alfalfa_irrigated:region0021_c2,0.280042,0,
crops,produce:alfalfa_irrigated:region0021_c3,-0.20894,0,
crops,produce:alfalfa_irrigated:region0023_c0,-90.3204,0,
crops,produce:alfalfa_irrigated:region0023_c1,-90.3977,0,
crops,produce:alfalfa_irrigated:region0023_c2,-90.24,0,
crops,produce:alfalfa_irrigated:region0023_c3,-89.7054,0,
crops,produce:alfalfa_irrigated:region0024_c0,-0.103424,0,
crops,produce:alfalfa_irrigated:region0027_c0,1.24574,0,
crops,produce:alfalfa_irrigated:region0027_c2,1.26812,0,
crops,produce:alfalfa_irrigated:region0028_c2,-0.832686,0,
crops,produce:alfalfa_irrigated:region0028_c3,-0.834003,0,
crops,produce:alfalfa_irrigated:region0029_c0,-65.5653,0,
crops,produce:alfalfa_irrigated:region0029_c1,-83.3024,0,
crops,produce:alfalfa_irrigated:region0029_c2,-88.1907,0,
