# SPDX-FileCopyrightText: 2025 Koen van Greevenbroek
# SPDX-License-Identifier: PDDL-1.0
crop,faostat_item
wheat,"Wheat"
dryland-rice,"Rice"
wetland-rice,"Rice"
maize,"Maize (corn)"
soybean,"Soya beans"
white-potato,"Potatoes"
tomato,"Tomatoes"
barley,"Barley"
oat,"Oats"
sunflower,"Sunflower seed"
carrot,"Carrots and turnips"
onion,"Onions and shallots, dry (excluding dehydrated)"
cabbage,"Cabbages"
banana,"Bananas"
cassava,"Cassava, fresh"
sweet-potato,"Sweet potatoes"
yam,"Yams"
sugarcane,"Sugar cane"
sugarbeet,"Sugar beet"
rapeseed,"Rape or colza seed"
groundnut,"Groundnuts, excluding shelled"
rye,"Rye"
dry-pea,"Peas, dry"
chickpea,"Chick peas, dry"
