# Mock data
food,nutrient,unit,value
apple,carb,g/100g,14
apple,protein,g/100g,0
apple,fat,g/100g,0
apple,kcal,kcal/100g,56
banana,carb,g/100g,23
banana,protein,g/100g,1
banana,fat,g/100g,0
banana,kcal,kcal/100g,96
barley (hulled),carb,g/100g,73
barley (hulled),protein,g/100g,12
barley (hulled),fat,g/100g,2
barley (hulled),kcal,kcal/100g,358
buckwheat,carb,g/100g,72
buckwheat,protein,g/100g,13
buckwheat,fat,g/100g,3
buckwheat,kcal,kcal/100g,367
cabbage,carb,g/100g,6
cabbage,protein,g/100g,1
cabbage,fat,g/100g,0
cabbage,kcal,kcal/100g,28
carrot,carb,g/100g,10
carrot,protein,g/100g,1
carrot,fat,g/100g,0
carrot,kcal,kcal/100g,44
cassava,carb,g/100g,38
cassava,protein,g/100g,1
cassava,fat,g/100g,0
cassava,kcal,kcal/100g,156
cattle meat,carb,g/100g,0
cattle meat,protein,g/100g,26
cattle meat,fat,g/100g,15
cattle meat,kcal,kcal/100g,239
chicken meat,carb,g/100g,0
chicken meat,protein,g/100g,27
chicken meat,fat,g/100g,6
chicken meat,kcal,kcal/100g,162
chickpea,carb,g/100g,60
chickpea,protein,g/100g,19
chickpea,fat,g/100g,6
chickpea,kcal,kcal/100g,370
citrus,carb,g/100g,9
citrus,protein,g/100g,1
citrus,fat,g/100g,0
citrus,kcal,kcal/100g,40
coconut,carb,g/100g,15
coconut,protein,g/100g,3
coconut,fat,g/100g,33
coconut,kcal,kcal/100g,369
cowpea,carb,g/100g,60
cowpea,protein,g/100g,24
cowpea,fat,g/100g,2
cowpea,kcal,kcal/100g,354
dairy,carb,g/100g,5
dairy,protein,g/100g,3
dairy,fat,g/100g,3
dairy,kcal,kcal/100g,59
dry pea,carb,g/100g,60
dry pea,protein,g/100g,25
dry pea,fat,g/100g,2
dry pea,kcal,kcal/100g,358
eggs,carb,g/100g,1
eggs,protein,g/100g,13
eggs,fat,g/100g,11
eggs,kcal,kcal/100g,155
flour (white),carb,g/100g,76
flour (white),protein,g/100g,10
flour (white),fat,g/100g,1
flour (white),kcal,kcal/100g,353
flour (wholemeal),carb,g/100g,72
flour (wholemeal),protein,g/100g,13
flour (wholemeal),fat,g/100g,2
flour (wholemeal),kcal,kcal/100g,358
foxtail millet,carb,g/100g,72
foxtail millet,protein,g/100g,12
foxtail millet,fat,g/100g,4
foxtail millet,kcal,kcal/100g,372
gram,carb,g/100g,58
gram,protein,g/100g,22
gram,fat,g/100g,4
gram,kcal,kcal/100g,356
groundnut,carb,g/100g,16
groundnut,protein,g/100g,26
groundnut,fat,g/100g,49
groundnut,kcal,kcal/100g,609
maize,carb,g/100g,74
maize,protein,g/100g,9
maize,fat,g/100g,5
maize,kcal,kcal/100g,377
oat,carb,g/100g,66
oat,protein,g/100g,17
oat,fat,g/100g,7
oat,kcal,kcal/100g,395
olive oil,carb,g/100g,0
olive oil,protein,g/100g,0
olive oil,fat,g/100g,100
olive oil,kcal,kcal/100g,900
onion,carb,g/100g,9
onion,protein,g/100g,1
onion,fat,g/100g,0
onion,kcal,kcal/100g,40
palm oil,carb,g/100g,0
palm oil,protein,g/100g,0
palm oil,fat,g/100g,100
palm oil,kcal,kcal/100g,900
pearl millet,carb,g/100g,67
pearl millet,protein,g/100g,11
pearl millet,fat,g/100g,5
pearl millet,kcal,kcal/100g,357
phaseolus bean,carb,g/100g,60
phaseolus bean,protein,g/100g,21
phaseolus bean,fat,g/100g,1
phaseolus bean,kcal,kcal/100g,333
pig meat,carb,g/100g,0
pig meat,protein,g/100g,23
pig meat,fat,g/100g,20
pig meat,kcal,kcal/100g,272
pigeon pea,carb,g/100g,61
pigeon pea,protein,g/100g,22
pigeon pea,fat,g/100g,2
pigeon pea,kcal,kcal/100g,350
potato,carb,g/100g,17
potato,protein,g/100g,2
potato,fat,g/100g,0
potato,kcal,kcal/100g,76
rapeseed oil,carb,g/100g,0
rapeseed oil,protein,g/100g,0
rapeseed oil,fat,g/100g,100
rapeseed oil,kcal,kcal/100g,900
rice,carb,g/100g,80
rice,protein,g/100g,7
rice,fat,g/100g,1
rice,kcal,kcal/100g,357
rye,carb,g/100g,76
rye,protein,g/100g,10
rye,fat,g/100g,2
rye,kcal,kcal/100g,362
sesame seed,carb,g/100g,23
sesame seed,protein,g/100g,18
sesame seed,fat,g/100g,50
sesame seed,kcal,kcal/100g,614
sorghum,carb,g/100g,75
sorghum,protein,g/100g,11
sorghum,fat,g/100g,3
sorghum,kcal,kcal/100g,371
soy,carb,g/100g,30
soy,protein,g/100g,36
soy,fat,g/100g,20
soy,kcal,kcal/100g,444
sugar,carb,g/100g,100
sugar,protein,g/100g,0
sugar,fat,g/100g,0
sugar,kcal,kcal/100g,400
sunflower oil,carb,g/100g,0
sunflower oil,protein,g/100g,0
sunflower oil,fat,g/100g,100
sunflower oil,kcal,kcal/100g,900
sweet potato,carb,g/100g,20
sweet potato,protein,g/100g,2
sweet potato,fat,g/100g,0
sweet potato,kcal,kcal/100g,88
tomato,carb,g/100g,4
tomato,protein,g/100g,1
tomato,fat,g/100g,0
tomato,kcal,kcal/100g,20
yam,carb,g/100g,28
yam,protein,g/100g,2
yam,fat,g/100g,0
yam,kcal,kcal/100g,120
